name,rank_mode,bottom_n,hold_days,cost_bps_oneway,zscore_filter,rsi_filter,days,avg_breadth,turnover,sharpe_gross,ann_ret_gross,ann_vol_gross,win_rate_gross,sharpe_net,ann_ret_net,ann_vol_net,win_rate_net,beta_net_vs_eqw,alpha_ann_net_vs_eqw,r2_net_vs_eqw
rsi_rank AND z<= -1.5,rsi,50,3,10,-1.5,,2394,29.618212197159565,0.3290388669283658,1.5169441529090828,0.5592835820627488,0.3686909508106783,0.5363408521303258,1.0672280436299277,0.39344799313085227,0.3686634693299761,0.5200501253132832,0.8301690656293101,0.25844762409434585,0.17802691599455378
rsi_rank AND z<= -1.5,rsi,30,3,10,-1.5,,2380,21.974789915966387,0.32956875525049684,1.493254998900721,0.5757195079615605,0.38554668049689034,0.538235294117647,1.0625030175316463,0.40961685531531006,0.3855206512889831,0.5222689075630252,0.8545796450336862,0.2664343180309359,0.17254893791545933
combo_rank AND z<= -1.5,combo,30,3,10,-1.5,,2397,30.435544430538172,0.3290017633700459,1.505643157799644,0.547611031966561,0.3637057221226596,0.5360867751355861,1.0498017092750882,0.38179414322805794,0.363682150500303,0.5193992490613266,0.8148408989075998,0.24695799686777853,0.17693899846764116
z_rank AND z<= -1.5,zscore,30,3,10,-1.5,,2397,34.36879432624114,0.3288953643704316,1.5086114754353797,0.5435691632478233,0.3603109031707129,0.5406758448060075,1.0486155942831272,0.37780589960512573,0.36029017846469086,0.523988318731748,0.8067474538478486,0.24430901952872888,0.1767226678773306
combo_rank (rank_z + rank_rsi),combo,5,3,10,,,2503,13.651618058330005,0.32457051538154225,1.4852772078984409,0.5494919409589664,0.3699591820549495,0.5553335996803835,1.0431324184147717,0.38590840120666897,0.36995149838514907,0.5373551737914503,0.9057526967435782,0.24385905061122354,0.2159629989297771
z_rank AND z<= -1.5,zscore,20,3,10,-1.5,,2397,29.807259073842303,0.3293557509065381,1.5025672702279937,0.5411349548198003,0.3601402516492261,0.5398414685022945,1.041698145403597,0.3751396563629051,0.3601231873342354,0.5227367542761786,0.8041860857306705,0.24206661977152896,0.1757651777280429
z_rank AND z<= -1.5,zscore,50,3,10,-1.5,,2397,38.727158948685855,0.3285542510269313,1.4996261205217947,0.5401882072863746,0.36021525625228257,0.5394242803504381,1.0400080286911588,0.3745968647688013,0.36018651244474353,0.5214851898206091,0.8057435666237248,0.2412661033603096,0.17638461440631625
z_rank AND rsi<= 10.0,zscore,5,3,10,,10.0,2435,9.864887063655031,0.33127081907369377,1.448258730406109,0.5886476706305217,0.40645200907261786,0.5425051334702259,1.0374798781781187,0.4216871778173802,0.4064533555656906,0.5277207392197125,0.7688779614927428,0.3084196272147298,0.1283088916003805
z_rank AND rsi<= 15.0,zscore,20,3,10,,15.0,2498,37.30824659727782,0.31708633555285803,1.5236146471256442,0.49174232625640774,0.32274717703987554,0.5628502802241794,1.0284767733644993,0.33193081313776734,0.32274021323000635,0.5452361889511609,0.8505607933682507,0.19898889962003527,0.2502458301145203
z_rank AND rsi<= 20.0,zscore,20,3,10,,20.0,2503,43.60846983619656,0.314131637528453,1.5351816189279837,0.4750792468220839,0.3094612656669454,0.5729125049940071,1.023550527783708,0.3167569015077437,0.3094687491330954,0.5529364762285258,0.8637252655211697,0.18129872015065826,0.28065146120914786
z_rank AND rsi<= 15.0,zscore,30,3,10,,15.0,2498,47.6697357886309,0.3093800729243351,1.4981816950313644,0.4832339899984213,0.322546985856949,0.5696557245796637,1.0148407496786322,0.3273064332445564,0.3225199947363209,0.5472377902321858,0.8514383156775545,0.19422736375177474,0.2511050139607657
combo_rank AND z<= -1.5,combo,20,3,10,-1.5,,2396,25.31594323873122,0.3294298043191646,1.4488247159316423,0.5406681547924734,0.3731770647250492,0.5392320534223706,1.0039656042809133,0.37463553341561456,0.37315574539423185,0.5212854757929883,0.8392748054708616,0.2390983276337951,0.17761055249019686
combo_rank AND rsi<= 10.0,combo,5,3,10,,10.0,2477,12.218005651998386,0.3259408783026062,1.4197630140447655,0.5572932089055607,0.39252551545055897,0.5405732741219217,1.0012934900428945,0.3930190062410472,0.39251129678692975,0.526039563988696,0.8431467119380984,0.2545309643846809,0.16664578252443274
z_rank AND z<= -1.5,zscore,10,3,10,-1.5,,2397,20.85773884021694,0.3303054633989136,1.4382106993112649,0.5307933023098192,0.36906504906687687,0.5402586566541511,0.9871588086708871,0.36431934875676675,0.36905849956126835,0.5223195661243221,0.8171840376473066,0.22909547051106888,0.17281093710721884
combo_rank AND rsi<= 20.0,combo,5,3,10,,20.0,2503,13.528166200559328,0.3248435211080038,1.4242070986728383,0.5292276397279779,0.3715945807468198,0.5497403116260487,0.9836379533905545,0.36550650508954413,0.3715864194032572,0.5317618857371155,0.901382371883864,0.22414255329053115,0.21200598132934712
combo_rank AND rsi<= 15.0,combo,5,3,10,,15.0,2498,13.243795036028823,0.3250556000355841,1.412695767040794,0.5298381246306348,0.37505465578091085,0.5524419535628503,0.9759054300073761,0.36601010221270047,0.3750466909585022,0.5356285028022418,0.8879908137557566,0.22721790900641428,0.20198009059671107
combo_rank AND z<= -1.5,combo,10,3,10,-1.5,,2384,17.01258389261745,0.33005941284045315,1.3865386067455787,0.5389061574470075,0.3886701421981346,0.5331375838926175,0.9585938583893631,0.3725562133754192,0.38864865460476783,0.514261744966443,0.8584419733508047,0.22931066629114985,0.17130862769792576
z_rank AND rsi<= 15.0,zscore,5,3,10,,15.0,2492,12.65008025682183,0.3304909042268593,1.394293073679184,0.5222290816237656,0.37454756928952976,0.5465489566613162,0.9495685209047457,0.3556616658934285,0.37455081762246634,0.5280898876404494,0.839313809612115,0.22992161117354887,0.18001477377883623
