symbol,trade_id,entry_date,exit_date,holding_days
AVGO,9,2017-06-15,2017-06-21,6
AVGO,10,2017-09-25,2017-09-28,3
AVGO,11,2017-12-08,2017-12-15,7
AVGO,12,2018-01-25,2018-01-30,5
AVGO,13,2018-03-29,2018-04-05,7
AVGO,14,2018-06-28,2018-07-09,11
AVGO,15,2018-07-12,2018-07-18,6
AVGO,16,2019-01-03,2019-01-08,5
AVGO,17,2019-02-22,2019-02-27,5
AVGO,18,2019-05-08,2019-05-13,5
AVGO,19,2019-05-24,2019-05-30,6
AVGO,20,2019-07-05,2019-07-10,5
AVGO,21,2019-08-06,2019-08-09,3
AVGO,22,2019-12-30,2020-01-03,4
AVGO,23,2020-01-09,2020-01-15,6
AVGO,24,2020-10-28,2020-11-02,5
AVGO,25,2021-04-19,2021-04-22,3
AVGO,26,2022-01-13,2022-01-26,13
AVGO,27,2022-05-23,2022-05-26,3
AVGO,28,2022-07-01,2022-07-08,7
AVGO,29,2023-11-30,2023-12-05,5
AVGO,30,2024-01-03,2024-01-09,6
AVGO,31,2024-05-31,2024-06-06,6
AVGO,32,2024-07-17,2024-07-22,5
AVGO,33,2024-11-27,2024-12-03,6
AVGO,34,2025-02-18,2025-02-28,10
AVGO,35,2025-03-26,2025-04-02,7
AVGO,36,2025-08-19,2025-08-25,6
AVGO,37,2025-09-26,2025-10-02,6
AVGO,38,2025-10-22,2025-10-27,5
AXP,1,2016-01-22,2016-02-02,11
AXP,2,2016-05-17,2016-05-20,3
AXP,3,2016-10-17,2016-10-20,3
AXP,4,2017-04-12,2017-04-19,7
AXP,5,2017-09-07,2017-09-13,6
AXP,6,2017-11-10,2017-11-15,5
AXP,7,2018-01-19,2018-01-24,5
AXP,8,2018-06-15,2018-06-25,10
AXP,9,2018-09-28,2018-10-03,5
AXP,10,2019-08-20,2019-08-23,3
AXP,11,2019-10-03,2019-10-08,5
AXP,12,2020-04-03,2020-04-08,5
AXP,13,2020-06-24,2020-06-29,5
AXP,14,2020-08-17,2020-08-21,4
AXP,15,2021-03-23,2021-03-26,3
AXP,16,2021-08-19,2021-08-24,5
AXP,17,2021-11-03,2021-11-08,5
AXP,18,2021-11-22,2021-11-26,4
AXP,19,2022-01-19,2022-01-24,5
AXP,20,2023-02-21,2023-02-24,3
AXP,21,2023-06-16,2023-06-26,10
AXP,22,2023-07-24,2023-07-28,4
AXP,23,2024-06-11,2024-06-17,6
AXP,24,2024-08-21,2024-08-26,5
AXP,25,2025-02-12,2025-02-18,6
AXP,26,2025-03-10,2025-03-14,4
AXP,27,2025-05-21,2025-05-27,6
AXP,28,2025-06-13,2025-06-18,5
BA,1,2015-11-30,2015-12-03,3
BA,2,2016-02-12,2016-02-18,6
BA,3,2016-03-30,2016-04-05,6
BA,4,2016-05-20,2016-05-25,5
BA,5,2016-05-31,2016-06-03,3
BA,6,2016-09-16,2016-09-21,5
BA,7,2016-11-17,2016-11-22,5
BA,8,2017-03-16,2017-03-21,5
BA,9,2017-05-18,2017-05-23,5
BA,10,2018-03-12,2018-03-19,7
BA,11,2018-06-18,2018-06-22,4
BA,12,2018-08-06,2018-08-09,3
BA,13,2018-11-16,2018-11-26,10
BA,14,2019-03-11,2019-03-15,4
BA,15,2019-04-10,2019-04-15,5
BA,16,2019-05-06,2019-05-10,4
BA,17,2019-07-01,2019-07-08,7
BA,18,2019-07-25,2019-07-31,6
BA,19,2019-10-18,2019-10-24,6
BA,20,2019-12-02,2019-12-10,8
BA,21,2019-12-16,2019-12-20,4
BA,22,2020-01-21,2020-01-27,6
BA,23,2020-02-20,2020-02-28,8
BA,24,2020-03-11,2020-03-16,5
BA,25,2020-04-14,2020-04-17,3
BA,26,2020-04-24,2020-04-30,6
BA,27,2020-07-29,2020-08-05,7
BA,28,2020-12-17,2020-12-23,6
BA,29,2020-12-31,2021-01-07,7
BA,30,2021-04-16,2021-04-23,7
BA,31,2021-07-19,2021-07-22,3
BA,32,2021-10-14,2021-10-20,6
BA,33,2021-10-21,2021-11-01,11
BA,34,2021-12-16,2021-12-21,5
BA,35,2022-01-27,2022-02-01,5
BA,36,2022-04-27,2022-05-04,7
BA,37,2022-05-12,2022-05-17,5
BA,38,2022-10-26,2022-10-31,5
BA,39,2023-07-19,2023-07-24,5
BA,40,2023-09-08,2023-09-18,10
BA,41,2023-09-19,2023-09-27,8
BA,42,2023-10-16,2023-10-19,3
BA,43,2024-01-08,2024-01-11,3
BA,44,2024-02-14,2024-02-20,6
BA,45,2024-02-22,2024-02-28,6
BA,46,2024-03-11,2024-03-18,7
BA,47,2024-04-08,2024-04-18,10
BA,48,2024-04-24,2024-04-29,5
BA,49,2024-07-15,2024-07-18,3
BA,50,2024-09-16,2024-09-19,3
BA,51,2024-09-20,2024-09-25,5
BA,52,2024-11-13,2024-11-19,6
BA,53,2025-01-03,2025-01-08,5
BA,54,2025-01-14,2025-01-21,7
BA,55,2025-04-03,2025-04-09,6
BA,56,2025-05-27,2025-05-30,3
BA,57,2025-09-11,2025-09-17,6
BABA,1,2015-12-28,2015-12-31,3
BABA,2,2016-01-28,2016-02-08,11
BABA,3,2016-04-27,2016-05-03,6
BABA,4,2016-05-13,2016-05-18,5
BABA,5,2016-05-25,2016-05-31,6
BABA,6,2016-11-02,2016-11-08,6
BABA,7,2016-11-11,2016-11-17,6
BABA,8,2016-12-15,2016-12-20,5
BABA,9,2017-11-30,2017-12-08,8
BABA,10,2018-01-16,2018-01-19,3
BABA,11,2018-04-04,2018-04-11,7
BABA,12,2018-08-03,2018-08-09,6
BABA,13,2018-09-05,2018-09-10,5
